ID,Source,context,Questions,,,
60,Generated,"charles avison, the leading british composer of concertos in the 18th century, was born in newcastle upon tyne in 1709 and died there in 1770.",when was charles avison born?,,,
61,Generated,"however, at wijk bij duurstede, the nederrijn changes its name and becomes the lek.",what is the name of the process that changes the name of the lek?,,,
62,Generated,tesla gained experience in telephony and electrical engineering before emigrating to the united states in 1884 to work for thomas edison in new york city.,in what year did ray edison gain time in the u.s.?,,,
63,Generated,this would be the final year in a multi-year contract with anheuser-busch inbev that allowed the beer manufacturer to air multiple advertisements during the game at a steep discount.,what was the name of the contract that allowed the beer manufacturer to air multiple advertisements during the game?,,,
64,Generated,"japanese imports, primarily the toyota corona, the toyota corolla, the datsun b210, the datsun 510, the honda civic, the mitsubishi galant (a captive import from chrysler sold as the dodge colt), the subaru dl, and later the honda accord all had four cylinder engines that were more fuel efficient than the typical american v8 and six cylinder engines.",what was the name of the ship that was bought by chrysler?,,,
65,Generated,"his work in the formative years of electric power development was involved in a corporate alternating current/direct current ""war of currents"" as well as various patent battles.",what was the name of the war that led to electric power development?,,,
66,Generated,"since 1974, abc has generally aired dick clark's new year's rockin' eve on new year's eve (hosted first by its creator dick clark, and later by his successor ryan seacrest); the only exception was in 1999, when abc put it on a one-year hiatus to provide coverage of the international millennium festivities, though clark's traditional countdown from times square was still featured within the coverage.",what year did abc begin his eve on new year 's eve?,,,
67,Generated,the warsaw stock exchange is one of the largest and most important in central and eastern europe.,what is one of the most important in central and eastern europe?,,,
68,Generated,"one of the network's strike-replacement programs during that time was the game show duel, which premiered in december 2007.",when was the game show showdown?,,,
69,Generated,"following a break for late local programming, cbs also aired a special episode of the late late show with james corden.",who played a special episode of the late 1970s?,,,
70,Generated,"also, very unequal societies tend to be politically and socially unstable, which is reflected in lower rates of investment and therefore growth.""",what type of societies tend to be politically and socially unstable?,,,
71,Generated,"osweiler was injured, however, leading to manning's return during the week 17 regular season finale, where the broncos were losing 13 -- 7 against the 4 -- 11 san diego chargers, resulting in manning re-claiming the starting quarterback position for the playoffs by leading the team to a key 27 -- 20 win that enabled the team to clinch the number one overall afc seed.",how many regular season finals did the taylor seahawks lose during the 2014-15 season?,,,
72,Generated,"in addition to certification, many educational institutions especially within the us, require that prospective teachers pass a background check and psychiatric evaluation to be able to teach in classroom.",what do students require to teach students in the us?,,,
73,Generated,the total number of seats in the parliament are allocated to parties proportionally to the number of votes received in the second vote of the ballot using the d'hondt method.,how many seats are there in the parliament?,,,
74,Generated,"on an international level, the price increases changed competitive positions in many industries, such as automobiles.",what did the price change on an international level?,,,
75,Generated,"in 1854 at ballarat there was an armed rebellion against the government of victoria by miners protesting against mining taxes (the ""eureka stockade"").",what was the eureka rebellion against?,,,
76,Generated,"the biodiversity of plant species is the highest on earth with one 2001 study finding a quarter square kilometer (62 acres) of ecuadorian rainforest supports more than 1,100 tree species.",how many tree species does the biodiversity of plant species support?,,,
77,Generated,"some of the income was dispensed in the form of aid to other underdeveloped nations whose economies had been caught between higher oil prices and lower prices for their own export commodities, amid shrinking western demand.",what did some of the income in the form of aid prevent?,,,
78,Generated,"however, mughal emperors directly patronized the legacies of genghis khan and timur ; together their names were synonymous with the names of other distinguished personalities particularly among the muslim populations of south asia.",who were the names of the names of the mughal?,,,
79,Generated,"seasonal rainfall is concentrated in the warmest months from may through september, while the driest months are from november through april.",when are tucson 's warmest months?,,,
80,Generated,"cbc began airing series two on 9 october 2006 at 20:00 e/p (20:30 in newfoundland and labrador), shortly after that day's cfl double header on thanksgiving in most of the country.",when did cbc begin airing airing?,,,
81,Generated,"johann sebastian bach included several verses as chorales in his cantatas and based chorale cantatas entirely on them, namely christ lag in todes banden, bwv 4, as early as possibly 1707, in his second annual cycle (1724 to 1725) ach gott, vom himmel sieh darein, bwv 2, christ unser herr zum jordan kam, bwv 7, nun komm, der heiden heiland, bwv 62, gelobet seist du, jesu christ, bwv 91, and aus tiefer not schrei ich zu dir, bwv 38, later ein feste burg ist unser gott, bwv 80, and in 1735 wär gott nicht mit uns diese zeit, bwv 14.",what was the name of the second year that included 4 included?,,,
82,Generated,"the biodiversity of plant species is the highest on earth with one 2001 study finding a quarter square kilometer (62 acres) of ecuadorian rainforest supports more than 1,100 tree species.",how many tree species does the biodiversity of plant species support?,,,
83,Generated,"t-cells have a symbiotic relationship with vitamin d. not only does the t-cell extend a vitamin d receptor, in essence asking to bind to the steroid hormone version of vitamin d, calcitriol, but the t-cell expresses the gene cyp27b1, which is the gene responsible for converting the pre-hormone version of vitamin d, calcidiol into the steroid hormone version, calcitriol.",what does the t-cell do?,,,
84,Generated,parliamentary time is also set aside for question periods in the debating chamber.,what type of time is often used in the debates chamber?,,,
85,Generated,"as indigenous territories continue to be destroyed by deforestation and ecocide, such as in the peruvian amazon indigenous peoples' rainforest communities continue to disappear, while others, like the urarina continue to struggle to fight for their cultural survival and the fate of their forested territories.",what do the indigenous peoples of the indigenous peoples do?,,,
86,Generated,they were licensed by st. george's church in 1784.,what year did st george 's church begin?,,,
87,Generated,"also, with the advent of the internet, many teachers are now selling their lesson plans to other teachers through the web in order to earn supplemental income, most notably on teacherspayteachers.com.",what are most students now selling their work for?,,,
88,Generated,"i would be doing a service if i killed my father when he is hunting, made an alliance with sultan muhammad, brought this land to life and gave assistance and support to the muslims.""",who was the leader of sultan muhammad?,,,
89,Generated,philo incorrectly surmised that parts of the air in the vessel were converted into the classical element fire and thus were able to escape through pores in the glass.,what did philo think parts of the air were converted into?,,,
90,Generated,leonard goldenson said that abc's first international activity was broadcasting the coronation of queen elizabeth ii in june 1953 ; cbs and nbc were unable to cover the coronation live due to respective issues with technical problems and flight delays.,who was the first queen of the queen elizabeth ii?,,,
91,Generated,"tesla's father, in a moment of despair, promised to send him to the best engineering school if he recovered from the illness (his father had originally wanted him to enter the priesthood).",what was the name of tesla 's father?,,,
92,Generated,"in china, the polymath shen kuo (1031 -- 1095) formulated a hypothesis for the process of land formation: based on his observation of fossil animal shells in a geological stratum in a mountain hundreds of miles from the ocean, he inferred that the land was formed by erosion of the mountains and by deposition of silt.",when did shen kua die?,,,
93,Generated,"the league eventually narrowed the bids to three sites : new orleans' mercedes-benz superdome, miami's sun life stadium, and the san francisco bay area's levi's stadium.",what was the name of miami 's sun life stadium?,,,
94,Generated,"albert einstein extended the principle of inertia further when he explained that reference frames subject to constant acceleration, such as those free-falling toward a gravitating object, were physically equivalent to inertial reference frames.",who expanded the principle of entropy?,,,
95,Generated,"in bays where they occur in very high numbers, predation by ctenophores may control the populations of small zooplanktonic organisms such as copepods, which might otherwise wipe out the phytoplankton (planktonic plants), which are a vital part of marine food chains.",what type of plants are predation?,,,
96,Generated,"while chinese primary schools were allowed to retain chinese as the medium of instruction, chinese secondary schools are required to change into english-medium schools.",what were chinese primary schools required to retain?,,,
97,Generated,"following the treaty, king george iii issued the royal proclamation of 1763 on october 7, 1763, which outlined the division and administration of the newly conquered territory, and to some extent continues to govern relations between the government of modern canada and the first nations.",when was the royal proclamation issued?,,,
98,Generated,"crosscountry trains serve destinations in yorkshire, the midlands and the south west.",what is the name of the train that serves destinations in somerset,,,
99,Generated,"barred by the government from settling in new france, huguenots led by jessé de forest, sailed to north america in 1624 and settled instead in the dutch colony of new netherland (later incorporated into new york and new jersey); as well as great britain 's colonies, including nova scotia.",in what year did the government arrive to north america?,,,
100,Generated,"when two forces act on a point particle, the resulting force, the resultant (also called the net force), can be determined by following the parallelogram rule of vector addition: the addition of two vectors represented by sides of a parallelogram, gives an equivalent resultant vector that is equal in magnitude and direction to the transversal of the parallelogram.",what is another name for the net rule?,,,
101,SQUAD,"on june 4, 2014, the nfl announced that the practice of branding super bowl games with roman numerals, a practice established at super bowl v, would be temporarily suspended, and that the game would be named using arabic numerals as super bowl 50 as opposed to super bowl l.","if roman numerals were used in the naming of the 50th super bowl, which one would have been used?",,,
102,SQUAD,he had to work at various electrical repair jobs and even as a ditch digger for $2 per day.,what did tesla do for a job that paid two dollars a day?,,,
103,SQUAD,"in may 2000, the parliament was temporarily relocated to the former strathclyde regional council debating chamber in glasgow, and to the university of aberdeen in may 2002.","in may 2002, where would you go to address the parliament?",,,
104,SQUAD,"the super bowl 50 halftime show was headlined by the british rock group coldplay with special guest performers beyoncé and bruno mars, who headlined the super bowl xlvii and super bowl xlviii halftime shows, respectively.",what two artists came out with coldplay during the half-time show?,,,
105,SQUAD,"he tried to put these ideas to practical use in an ill-fated attempt at intercontinental wireless transmission, his unfinished wardenclyffe tower project.",where was his unfinished project called?,,,
106,SQUAD,"the first commercial steam-powered device was a water pump, developed in 1698 by thomas savery.",who developed the first commercial steam powered device?,,,
107,SQUAD,"the dornbirner ach had to be diverted, too, and it now flows parallel to the canalized rhine into the lake.","after the dornbirner ach was diverted, where does the rhine flow now?",,,
108,SQUAD,"this allowed increased communication and trade between the west, middle east and asia, thus expanding the horizons of all three cultural areas.",what effect did genghis khan's career have on communication and trade across asia?,,,
109,SQUAD,"each year, enr compiles and reports on data about the size of design and construction companies.",what compiles and reports on data about the size of design and construction companies?,,,
110,SQUAD,some customers consider this to be more convenient and private method rather than traveling to a community drugstore where another customer might overhear about the drugs that they take.,what is one reason a patient might choose an internet pharmacy?,,,
111,SQUAD,"materials readily available in the area generally dictate the construction materials used (e.g. brick versus stone, versus timber).",what generally dictates the construction materials used?,,,
112,SQUAD,this early part of luther's career was one of his most creative and productive.,what part of luther's career was one of his most productive?,,,
113,SQUAD,"although many plants and factories can be found along the rhine up into switzerland, it is along the lower rhine that the bulk of them are concentrated, as the river passes the major cities of cologne, düsseldorf and duisburg.",where are a bulk of factories concentrated along the rhine?,,,
114,SQUAD,"woods retained his position as president and ceo of abc until december 1949, and was subsequently promoted to vice-chairman of the board before leaving abc altogether on june 30, 1951.",what position did mark woods take on at the new american broadcasting company?,,,
115,SQUAD,"this decreed that it would be occupied by the allies, until 1935 and after that, it would be a demilitarised zone, with the german army forbidden to enter.","after 1935, who would be forbidden to enter rhineland?",,,
116,SQUAD,"the wedding was held on 12 may 1191 at the chapel of st. george and it was attended by richard 's sister joan, whom he had brought from sicily.",what was the wedding date?,,,
117,SQUAD,"they then beat the defending super bowl xlix champion new england patriots in the afc championship game, 20 -- 18, by intercepting a pass on new england's 2-point conversion attempt with 17 seconds left on the clock.",how many seconds were left in the game when the broncos intercepted the pass that won the game?,,,
118,SQUAD,"a function problem is a computational problem where a single output (of a total function) is expected for every input, but the output is more complex than that of a decision problem, that is, it is n't just yes or no.",a function problem is an example of what?,,,
119,SQUAD,"warsaw university of technology is the second academic school of technology in the country, and one of the largest in east-central europe, employing 2,000 professors.",how many professors does the warsaw university of technology employ?,,,
120,SQUAD,"the ""west side"" of fresno, also often called ""southwest fresno"", is one of the oldest neighborhoods in the city.",what is another name for the west side of fresno?,,,
121,SQUAD,"as sea-level continued to rise in the netherlands, the formation of the holocene rhine-meuse delta began (~ 8,000 years ago).",what country did the rhine continue to rise during the holocene?,,,
122,SQUAD,"however, the university chose to withdraw from the conference in 1946 after university president robert maynard hutchins de-emphasized varsity athletics in 1939 and dropped football.",why did the university eventually leave the conference?,,,
123,SQUAD,"despite the disagreements on the eucharist, the marburg colloquy paved the way for the signing in 1530 of the augsburg confession, and for the formation of the schmalkaldic league the following year by leading protestant nobles such as john of saxony, philip of hesse, and george, margrave of brandenburg-ansbach.","what ruler, besides john of saxony and philip of hesse, formed the schmalkaldic league?",,,
124,SQUAD,"in 2006, unicef estimated that up to 30% of girls in the coastal areas of malindi, mombasa, kilifi, and diani were subject to prostitution.",what percent of girls are in prostution in kenyas coastal areas?,,,
125,SQUAD,the arrival of satellite television ended the need for abc to hold interests in other countries ; many governments also wanted to increase their independence and strengthen legislation to limit foreign ownership of broadcasting properties.,why was abc forced to sell its interests in international networks in the 70s?,,,
126,SQUAD,"in the more spiritual or mystical islamic tradition of sufism, the position of spiritual teacher and an esoteric (as opposed to exoteric, or actions-oriented, e.g. the five pillars of islam) spirituality and spiritual knowledge takes on a more important dimension, with emphasis on learning from living saints - the highest of which is a qutb - and of traditions passed down from initiate to initiate, and traceable back to the founder of the order.",what is the name of the mystical type of islam?,,,
127,SQUAD,"the panthers then blew out the arizona cardinals in the nfc championship game, 49 -- 15, racking up 487 yards and forcing seven turnovers.",who did the panthers play in their division championship game?,,,
128,SQUAD,"many types of turing machines are used to define complexity classes, such as deterministic turing machines, probabilistic turing machines, non-deterministic turing machines, quantum turing machines, symmetric turing machines and alternating turing machines.","in the determination of complexity classes, what are two examples of types of turing machines?",,,
129,SQUAD,this is not a valid comparison -- the inner mitochondria membrane is used to run proton pumps and carry out oxidative phosphorylation across to generate atp energy.,what does oxidative phosphorylation do?,,,
130,SQUAD,sky uk limited (formerly british sky broadcasting or bskyb) is a british telecommunications company which serves the united kingdom.,what kind of company is sky uk limited?,,,
131,SQUAD,"packet switching contrasts with another principal networking paradigm, circuit switching, a method which pre-allocates dedicated network bandwidth specifically for each communication session, each having a constant bit rate and latency between nodes.",how is circuit switching allocated,,,
132,SQUAD,"goldenson also cited interest in japan in the early 1950s, acquiring a 5% stake in two new domestic networks, the mainichi broadcasting system in 1951 and nihon educational television in 1957.",what japanese network did abc purchase a stake in in 1951?,,,
133,SQUAD,"the descendants of rollo 's vikings and their frankish wives would replace the norse religion and old norse language with catholicism (christianity) and the gallo-romance language of the local people, blending their maternal frankish heritage with old norse traditions and customs to synthesize a unique ""norman"" culture in the north of france.",what part of france were the normans located?,,,
134,SQUAD,"however, most of hearst television's 16 abc-affiliated stations transmit the network's programming in 1080i hd, while 11 other affiliates owned by various companies carry the network feed in 480i standard definition either due to technical considerations for affiliates of other major networks that carry abc programming on a digital subchannel or because a primary feed abc affiliate has not yet upgraded their transmission equipment to allow content to be presented in hd.",what format do hearst television's abc affiliates transmit in?,,,
135,SQUAD,concepts of this network influenced later arpanet architecture.,this network influenced  later models of,,,
136,SQUAD,"an online petition of over 5,100 names on the parliamentary website led to chris smith asking parliament about the future of the collection.",approximately how many names were signed on an online petition on the parliamentary website in response to the closing of the musical instruments gallery?,,,
137,SQUAD,"on the evening of the same day, the couple was married by bugenhagen.",at what point in the day was the couple married?,,,
138,SQUAD,a similar method is the electrocatalytic o2 evolution from oxides and oxoacids.,what is the source of oxygen production through electrocatalytic means?,,,
139,SQUAD,"he was supposedly killed with poison by el temür, and tugh temür then remounted the throne.",who took the throne after kusala's death?,,,
140,SQUAD,"each step had to be successfully accomplished before the next ones could be performed, and it was unknown how many tries of each mission would be necessary; therefore letters were used instead of numbers.","since nasa didn't know how many attempts each test would end up requiring, what did they use instead of numbers for the trials?",,,
141,SQUAD,in 2011 the board of pharmaceutical specialties approved ambulatory care pharmacy practice as a separate board certification.,when was ambulatory care pharmacy approved as its own certification?,,,
142,SQUAD,"the crew of apollo 8 sent the first live televised pictures of the earth and the moon back to earth, and read from the creation story in the book of genesis, on christmas eve, 1968.",what crew sent the first ever live images of the earth and moon to earth?,,,
143,SQUAD,"rodin is represented by more than 20 works in the museum collection, making it one of the largest collections of the sculptor's work outside france ; these were given to the museum by the sculptor in 1914, as acknowledgement of britain 's support of france in world war i, although the statue of st john the baptist had been purchased in 1902 by public subscription.",in which year were rodin's works given to the v&a?,,,
144,SQUAD,"the style adopted for this part of the museum was italian renaissance, much use was made of terracotta, brick and mosaic, this north façade was intended as the main entrance to the museum with its bronze doors designed by james gamble & reuben townroe having six panels depicting : humphry davy (chemistry) ; isaac newton (astronomy) ; james watt (mechanics) ; bramante (architecture) ; michelangelo (sculpture) ; titian (painting) ; thus representing the range of the museums collections, godfrey sykes also designed the terracotta embellishments and the mosaic in the pediment of the north façade commemorating the great exhibition the profits from which helped to fund the museum, this is flanked by terracotta statue groups by percival ball.",what art historical style was used in the decoration for the northern part of the museum?,,,
145,SQUAD,the number of chloroplasts per cell varies from 1 in algae up to 100 in plants like arabidopsis and wheat.,how many chloroplasts per cell does algae have?,,,
146,SQUAD,"gaining support from princes and officers in northern china and some other parts of the dynasty, khanbaliq-based tugh temür eventually won the civil war against ragibagh known as the war of the two capitals.",what was the civil war against ragibagh also called?,,,
147,SQUAD,"its existence was first proved in 1962, and first sequenced in 1986 -- when two japanese research teams sequenced the chloroplast dna of liverwort and tobacco.",who sequenced the first plastome?,,,
148,SQUAD,"oxfam's claims have however been questioned on the basis of the methodology used: by using net wealth (adding up assets and subtracting debts), the oxfam report, for instance, finds that there are more poor people in the united states and western europe than in china (due to a greater tendency to take on debts).",what has caused oxfam's findings to be questioned?,,,
149,SQUAD,"according to this theory, those who already hold wealth have the means to invest in new sources of creating wealth or to otherwise leverage the accumulation of wealth, thus are the beneficiaries of the new wealth.","according to the wealth concentration theory, what advantage do the wealthy have in accumulating new wealth?",,,
150,SQUAD,"the design, development and construction of the center was conducted by kurt h. debus, a member of dr. wernher von braun's original v-2 rocket engineering team.",who conducted the construction of the new center?,,,
151,SQUAD,"this shift has already commenced in some countries; for instance, pharmacists in australia receive remuneration from the australian government for conducting comprehensive home medicines reviews.",who pays australian pharmacists for doing home medicines reviews?,,,
152,SQUAD,"the plan was, at least provisionally approved by then superintendent of new york city schools, william h. maxwell.",who approved of this plan?,,,
153,SQUAD,"steam engines can be said to have been the moving force behind the industrial revolution and saw widespread commercial use driving machinery in factories, mills and mines ; powering pumping stations ; and propelling transport appliances such as railway locomotives, ships, steamboats and road vehicles.","along with mills and mines, in what industrial locations did steam drive machines?",,,
154,SQUAD,"luther 's 1541 hymn ""christ unser herr zum jordan kam"" (""to jordan came the christ our lord"") reflects the structure and substance of his questions and answers concerning baptism in the small catechism.",what does luther's hymn christ unser herr zum jordan kam concern?,,,
155,SQUAD,stable and radioactive isotope studies provide insight into the geochemical evolution of rock units.,stable and radioactive isotope studies provide insight into what?,,,
