context1,number1,question1,answer1,context2,number2,question2,answer2,context3,number3,question3,answer3,context4,number4,question4,answer4,context5,number5,question5,answer5,context6,number6,question6,answer6,context7,number7,question7,answer7,context8,number8,question8,answer8,context9,number9,question9,answer9,context10,number10,question10,answer10
"the super bowl 50 halftime show was headlined by the british rock group coldplay with special guest performers beyoncÃ© and bruno mars, who headlined the super bowl xlvii and super bowl xlviii halftime shows, respectively.",3,what is the name of the feature that featured the super bowl?,xlviii halftime,"seasonal rainfall is concentrated in the warmest months from may through september, while the driest months are from november through april.",178,when does rain typically fall in jacksonville?,May through September,"as sea-level continued to rise in the netherlands, the formation of the holocene rhine-meuse delta began (~ 8,000 years ago).",20,when did the silurian (formation begin?,~ ,"this decreed that it would be occupied by the allies, until 1935 and after that, it would be a demilitarised zone, with the german army forbidden to enter.",114,"after 1935, who would be forbidden to enter rhineland?",German army,the warsaw stock exchange is one of the largest and most important in central and eastern europe.,166,what exchange in warsaw is one of the most important for central and eastern europe?,Stock,they were licensed by st. george's church in 1784.,85,what year did st george 's church begin?,1784,proportionality is recognised one of the general principles of european union law by the european court of justice since the 1950s.,58,in what decade did the european court of justice begin?,1950s,"on the evening of the same day, the couple was married by bugenhagen.",136,at what point in the day was the couple married?,evening,"since 1974, abc has generally aired dick clark's new year's rockin' eve on new year's eve (hosted first by its creator dick clark, and later by his successor ryan seacrest); the only exception was in 1999, when abc put it on a one-year hiatus to provide coverage of the international millennium festivities, though clark's traditional countdown from times square was still featured within the coverage.",65,what year did abc begin his eve on new year 's eve?,1974,this early part of luther's career was one of his most creative and productive.,11,what was one of von neumann 's career?,most creative and productive
"cbc began airing series two on 9 october 2006 at 20:00 e/p (20:30 in newfoundland and labrador), shortly after that day's cfl double header on thanksgiving in most of the country.",179,on what date was series two first shown by the cbc?,9 October 2006,"the ""west side"" of fresno, also often called ""southwest fresno"", is one of the oldest neighborhoods in the city.",19,what is another name for west tuscon?,southwest fresno,"the biodiversity of plant species is the highest on earth with one 2001 study finding a quarter square kilometer (62 acres) of ecuadorian rainforest supports more than 1,100 tree species.",175,how many tree species are in the rainforest?,"1,100","t-cells have a symbiotic relationship with vitamin d. not only does the t-cell extend a vitamin d receptor, in essence asking to bind to the steroid hormone version of vitamin d, calcitriol, but the t-cell expresses the gene cyp27b1, which is the gene responsible for converting the pre-hormone version of vitamin d, calcidiol into the steroid hormone version, calcitriol.",182,what is the nature of the relationship between t-cells and vitamin d?,symbiotic relationship,"the crew of apollo 8 sent the first live televised pictures of the earth and the moon back to earth, and read from the creation story in the book of genesis, on christmas eve, 1968.",141,what crew sent the first ever live images of the earth and moon to earth?,Apollo 8,"albert einstein extended the principle of inertia further when he explained that reference frames subject to constant acceleration, such as those free-falling toward a gravitating object, were physically equivalent to inertial reference frames.",93,who expanded the principle of entropy?,albert einstein,tesla gained experience in telephony and electrical engineering before emigrating to the united states in 1884 to work for thomas edison in new york city.,61,in what year did ray edison gain time in the u.s.?,1884,this early part of luther's career was one of his most creative and productive.,111,what part of luther's career was one of his most productive?,early part,"the plan was, at least provisionally approved by then superintendent of new york city schools, william h. maxwell.",51,who was the commissioner of new york city schools?,william h. maxwell,"oxfam's claims have however been questioned on the basis of the methodology used: by using net wealth (adding up assets and subtracting debts), the oxfam report, for instance, finds that there are more poor people in the united states and western europe than in china (due to a greater tendency to take on debts).",47,how much money does the oxfam report have?,net wealth (adding up assets and subtracting debts
a similar method is the electrocatalytic o2 evolution from oxides and oxoacids.,37,what is the name of the simple method that is a similar method of a simple method?,electrocatalytic o2 evolution,"packet switching contrasts with another principal networking paradigm, circuit switching, a method which pre-allocates dedicated network bandwidth specifically for each communication session, each having a constant bit rate and latency between nodes.",30,what is a method that provides a connection to each communication session?,circuit switching,"each year, enr compiles and reports on data about the size of design and construction companies.",108,what compiles and reports on data about the size of design and construction companies?,ENR,the arrival of satellite television ended the need for abc to hold interests in other countries ; many governments also wanted to increase their independence and strengthen legislation to limit foreign ownership of broadcasting properties.,124,why was abc forced to sell its interests in international networks in the 70s?,legislation to limit foreign ownership of broadcasting properties,the total number of seats in the parliament are allocated to parties proportionally to the number of votes received in the second vote of the ballot using the d'hondt method.,172,how are the total numbers of seats allocated to parties?,proportionally to the number of votes received,a similar method is the electrocatalytic o2 evolution from oxides and oxoacids.,137,what is the source of oxygen production through electrocatalytic means?,oxides and oxoacids,"barred by the government from settling in new france, huguenots led by jessÃ© de forest, sailed to north america in 1624 and settled instead in the dutch colony of new netherland (later incorporated into new york and new jersey); as well as great britain 's colonies, including nova scotia.",98,in what year did the government arrive to north america?,1624,this is not a valid comparison -- the inner mitochondria membrane is used to run proton pumps and carry out oxidative phosphorylation across to generate atp energy.,28,what does the inner membrane membrane do?,run proton pumps and carry out oxidative phosphorylation across to generate atp energy,"this allowed increased communication and trade between the west, middle east and asia, thus expanding the horizons of all three cultural areas.",7,what was the trade between west and asia?,communication,"this decreed that it would be occupied by the allies, until 1935 and after that, it would be a demilitarised zone, with the german army forbidden to enter.",14,what did the allies call the german army to do?,forbidden to enter
"although many plants and factories can be found along the rhine up into switzerland, it is along the lower rhine that the bulk of them are concentrated, as the river passes the major cities of cologne, dÃ¼sseldorf and duisburg.",12,"along with cologne and duisburg, what other cities are located in switzerland?",dÃ¼sseldorf,"also, very unequal societies tend to be politically and socially unstable, which is reflected in lower rates of investment and therefore growth.""",69,what type of societies tend to be politically and socially unstable?,unequal societies,"some of the income was dispensed in the form of aid to other underdeveloped nations whose economies had been caught between higher oil prices and lower prices for their own export commodities, amid shrinking western demand.",76,what did some of the income in the form of aid prevent?,more than ,"the design, development and construction of the center was conducted by kurt h. debus, a member of dr. wernher von braun's original v-2 rocket engineering team.",49,who was the director of the center?,kurt h. debus,"following the treaty, king george iii issued the royal proclamation of 1763 on october 7, 1763, which outlined the division and administration of the newly conquered territory, and to some extent continues to govern relations between the government of modern canada and the first nations.",196,who issued the royal proclamation of 1763?,King George III,"the south florida/miami area has previously hosted the event 10 times (tied for most with new orleans), with the most recent one being super bowl xliv in 2010.",157,what city is tied with miami for hosting the super bowl?,New Orleans,"one of the network's strike-replacement programs during that time was the game show duel, which premiered in december 2007.",167,what game show debuted on abc in 2007 as a replacement for striking programs?,Duel,"materials readily available in the area generally dictate the construction materials used (e.g. brick versus stone, versus timber).",10,what type of construction is used in the area?,brick versus ston,"its existence was first proved in 1962, and first sequenced in 1986 -- when two japanese research teams sequenced the chloroplast dna of liverwort and tobacco.",146,who sequenced the first plastome?,two Japanese research teams,"when two forces act on a point particle, the resulting force, the resultant (also called the net force), can be determined by following the parallelogram rule of vector addition: the addition of two vectors represented by sides of a parallelogram, gives an equivalent resultant vector that is equal in magnitude and direction to the transversal of the parallelogram.",199,what is the resultant force called when two forces act on a particle?,net force
"following the treaty, king george iii issued the royal proclamation of 1763 on october 7, 1763, which outlined the division and administration of the newly conquered territory, and to some extent continues to govern relations between the government of modern canada and the first nations.",96,when was the royal proclamation issued?,1763,"steam engines can be said to have been the moving force behind the industrial revolution and saw widespread commercial use driving machinery in factories, mills and mines ; powering pumping stations ; and propelling transport appliances such as railway locomotives, ships, steamboats and road vehicles.",52,what type of engine is used in industrial applications?,steam,"a function problem is a computational problem where a single output (of a total function) is expected for every input, but the output is more complex than that of a decision problem, that is, it is n't just yes or no.",117,a function problem is an example of what?,a computational problem,"however, at wijk bij duurstede, the nederrijn changes its name and becomes the lek.",160,where does the nederrijn change it's name?,Wijk bij Duurstede,"the panthers then blew out the arizona cardinals in the nfc championship game, 49 -- 15, racking up 487 yards and forcing seven turnovers.",126,who did the panthers play in their division championship game?,Arizona Cardinals,"crosscountry trains serve destinations in yorkshire, the midlands and the south west.",97,what is the name of the train that serves destinations in somerset,crosscountry trains serve destinations in yorkshir,"in may 2000, the parliament was temporarily relocated to the former strathclyde regional council debating chamber in glasgow, and to the university of aberdeen in may 2002.",102,"in may 2002, where would you go to address the parliament?",University of Aberdeen,"in the more spiritual or mystical islamic tradition of sufism, the position of spiritual teacher and an esoteric (as opposed to exoteric, or actions-oriented, e.g. the five pillars of islam) spirituality and spiritual knowledge takes on a more important dimension, with emphasis on learning from living saints - the highest of which is a qutb - and of traditions passed down from initiate to initiate, and traceable back to the founder of the order.",125,what is the name of the mystical type of islam?,Sufism,"kublai originally named his eldest son, zhenjin, as the crown prince, but he died before kublai in 1285.",155,when did zhenjin die?,before Kublai in 1285,"on june 4, 2014, the nfl announced that the practice of branding super bowl games with roman numerals, a practice established at super bowl v, would be temporarily suspended, and that the game would be named using arabic numerals as super bowl 50 as opposed to super bowl l.",100,"if roman numerals were used in the naming of the 50th super bowl, which one would have been used?",L
"the descendants of rollo 's vikings and their frankish wives would replace the norse religion and old norse language with catholicism (christianity) and the gallo-romance language of the local people, blending their maternal frankish heritage with old norse traditions and customs to synthesize a unique ""norman"" culture in the north of france.",132,what part of france were the normans located?,north,"however, mughal emperors directly patronized the legacies of genghis khan and timur ; together their names were synonymous with the names of other distinguished personalities particularly among the muslim populations of south asia.",77,who were the names of the names of the mughal?,to other underdeveloped nations,concepts of this network influenced later arpanet architecture.,34,what type of architecture did the network have?,arpanet architecture,"following a break for late local programming, cbs also aired a special episode of the late late show with james corden.",168,what followed the late local programming after super bowl 50?,The Late Late Show with James Corden.,"warsaw university of technology is the second academic school of technology in the country, and one of the largest in east-central europe, employing 2,000 professors.",18,what is the second academic school of technology in the country?,warsaw university of technology,"goldenson also cited interest in japan in the early 1950s, acquiring a 5% stake in two new domestic networks, the mainichi broadcasting system in 1951 and nihon educational television in 1957.",131,what japanese network did abc purchase a stake in in 1951?,Mainichi Broadcasting System,"the dornbirner ach had to be diverted, too, and it now flows parallel to the canalized rhine into the lake.",6,where did the dornbirner ag originate?,canalized rhine into the lake,"i would be doing a service if i killed my father when he is hunting, made an alliance with sultan muhammad, brought this land to life and gave assistance and support to the muslims.""",187,who did jochi reportedly enlist to help him stop his father's massacres?,Sultan Muhammad,leonard goldenson said that abc's first international activity was broadcasting the coronation of queen elizabeth ii in june 1953 ; cbs and nbc were unable to cover the coronation live due to respective issues with technical problems and flight delays.,89,who was the first queen of the queen elizabeth ii?,leonard goldenson,"on an international level, the price increases changed competitive positions in many industries, such as automobiles.",173,"on an international level, which industry's competitive positions is affected?",automobiles
"albert einstein extended the principle of inertia further when he explained that reference frames subject to constant acceleration, such as those free-falling toward a gravitating object, were physically equivalent to inertial reference frames.",193,who explained that inertial reference frames equaled reference frames subject to constant acceleration?,Albert Einstein,"his work in the formative years of electric power development was involved in a corporate alternating current/direct current ""war of currents"" as well as various patent battles.",64,what was the name of the war that led to electric power development?,war of currents,"the league eventually narrowed the bids to three sites : new orleans' mercedes-benz superdome, miami's sun life stadium, and the san francisco bay area's levi's stadium.",92,what was the name of miami 's sun life stadium?,mercedes-benz superdome,"also, with the advent of the internet, many teachers are now selling their lesson plans to other teachers through the web in order to earn supplemental income, most notably on teacherspayteachers.com.",86,what are most students now selling their work for?,lesson plans,the arrival of satellite television ended the need for abc to hold interests in other countries ; many governments also wanted to increase their independence and strengthen legislation to limit foreign ownership of broadcasting properties.,24,what did the initial satellite broadcast for abc to limit?,foreign ownership of broadcasting properties,this is not a valid comparison -- the inner mitochondria membrane is used to run proton pumps and carry out oxidative phosphorylation across to generate atp energy.,128,what does oxidative phosphorylation do?,generate ATP energy,"however, at wijk bij duurstede, the nederrijn changes its name and becomes the lek.",60,what is the name of the process that changes the name of the lek?,wijk bij duurstede,the total number of seats in the parliament are allocated to parties proportionally to the number of votes received in the second vote of the ballot using the d'hondt method.,72,how many seats are there in the parliament?,total number,"also, with the advent of the internet, many teachers are now selling their lesson plans to other teachers through the web in order to earn supplemental income, most notably on teacherspayteachers.com.",186,what website are teachers using to sell their lesson plans?,TeachersPayTeachers.com,"according to this theory, those who already hold wealth have the means to invest in new sources of creating wealth or to otherwise leverage the accumulation of wealth, thus are the beneficiaries of the new wealth.",48,"according to the theory of the theory, who is the beneficiaries of the new wealth?",those who already hold wealth
"since 1974, abc has generally aired dick clark's new year's rockin' eve on new year's eve (hosted first by its creator dick clark, and later by his successor ryan seacrest); the only exception was in 1999, when abc put it on a one-year hiatus to provide coverage of the international millennium festivities, though clark's traditional countdown from times square was still featured within the coverage.",165,when did abc begin airing dick clark's new year's rockin' eve?,1974,the warsaw stock exchange is one of the largest and most important in central and eastern europe.,66,what is one of the most important in central and eastern europe?,warsaw stock exchange,"materials readily available in the area generally dictate the construction materials used (e.g. brick versus stone, versus timber).",110,what generally dictates the construction materials used?,Materials readily available in the area,"kublai originally named his eldest son, zhenjin, as the crown prince, but he died before kublai in 1285.",55,who was the youngest son of the crown prince?,zhenjin,"a function problem is a computational problem where a single output (of a total function) is expected for every input, but the output is more complex than that of a decision problem, that is, it is n't just yes or no.",17,what is a dbms problem?,a single output (of a total function) is expected for every input,they were licensed by st. george's church in 1784.,185,richard allen and absalom jones were licensed by what church?,St. George's Church,"as sea-level continued to rise in the netherlands, the formation of the holocene rhine-meuse delta began (~ 8,000 years ago).",120,what country did the rhine continue to rise during the holocene?,Netherlands,"the wedding was held on 12 may 1191 at the chapel of st. george and it was attended by richard 's sister joan, whom he had brought from sicily.",15,where was richard 's sister?,joan,"on an international level, the price increases changed competitive positions in many industries, such as automobiles.",73,what did the price change on an international level?,competitive positions in many industries,"as indigenous territories continue to be destroyed by deforestation and ecocide, such as in the peruvian amazon indigenous peoples' rainforest communities continue to disappear, while others, like the urarina continue to struggle to fight for their cultural survival and the fate of their forested territories.",184,what kind of territories are being destroyed by ecocide in the amazon?,indigenous territories
"despite the disagreements on the eucharist, the marburg colloquy paved the way for the signing in 1530 of the augsburg confession, and for the formation of the schmalkaldic league the following year by leading protestant nobles such as john of saxony, philip of hesse, and george, margrave of brandenburg-ansbach.",122,"what ruler, besides john of saxony and philip of hesse, formed the schmalkaldic league?","George, Margrave of Brandenburg-Ansbach","he tried to put these ideas to practical use in an ill-fated attempt at intercontinental wireless transmission, his unfinished wardenclyffe tower project.",4,what project did bell try to create?,wardenclyffe tower project,"when two forces act on a point particle, the resulting force, the resultant (also called the net force), can be determined by following the parallelogram rule of vector addition: the addition of two vectors represented by sides of a parallelogram, gives an equivalent resultant vector that is equal in magnitude and direction to the transversal of the parallelogram.",99,what is another name for the net rule?,resultant,he had to work at various electrical repair jobs and even as a ditch digger for $2 per day.,1,how much did he spend to work at a ditch digger?,$2 per day,"also, very unequal societies tend to be politically and socially unstable, which is reflected in lower rates of investment and therefore growth.""",169,what do extremely unequal societies tend to be?,politically and socially unstable,"the war was fought between the colonies of british america and new france, with both sides supported by military units from their parent countries of great britain and france, as well as native american allies.",156,who fought in the french and indian war?,colonies of British America and New France,"barred by the government from settling in new france, huguenots led by jessÃ© de forest, sailed to north america in 1624 and settled instead in the dutch colony of new netherland (later incorporated into new york and new jersey); as well as great britain 's colonies, including nova scotia.",198,when did huguenots colonize in north america?,1624,this would be the final year in a multi-year contract with anheuser-busch inbev that allowed the beer manufacturer to air multiple advertisements during the game at a steep discount.,62,what was the name of the contract that allowed the beer manufacturer to air multiple advertisements during the game?,anheuser-busch inbev,"tesla's father, in a moment of despair, promised to send him to the best engineering school if he recovered from the illness (his father had originally wanted him to enter the priesthood).",190,what was tesla's father's original plans for tesla?,enter the priesthood,"in 1854 at ballarat there was an armed rebellion against the government of victoria by miners protesting against mining taxes (the ""eureka stockade"").",74,what was the eureka rebellion against?,mining taxes
"as indigenous territories continue to be destroyed by deforestation and ecocide, such as in the peruvian amazon indigenous peoples' rainforest communities continue to disappear, while others, like the urarina continue to struggle to fight for their cultural survival and the fate of their forested territories.",84,what do the indigenous peoples of the indigenous peoples do?,continue to disappear,"the style adopted for this part of the museum was italian renaissance, much use was made of terracotta, brick and mosaic, this north faÃ§ade was intended as the main entrance to the museum with its bronze doors designed by james gamble & reuben townroe having six panels depicting : humphry davy (chemistry) ; isaac newton (astronomy) ; james watt (mechanics) ; bramante (architecture) ; michelangelo (sculpture) ; titian (painting) ; thus representing the range of the museums collections, godfrey sykes also designed the terracotta embellishments and the mosaic in the pediment of the north faÃ§ade commemorating the great exhibition the profits from which helped to fund the museum, this is flanked by terracotta statue groups by percival ball.",43,what was the name of the building that was constructed by james gamble?,reuben townroe,"johann sebastian bach included several verses as chorales in his cantatas and based chorale cantatas entirely on them, namely christ lag in todes banden, bwv 4, as early as possibly 1707, in his second annual cycle (1724 to 1725) ach gott, vom himmel sieh darein, bwv 2, christ unser herr zum jordan kam, bwv 7, nun komm, der heiden heiland, bwv 62, gelobet seist du, jesu christ, bwv 91, and aus tiefer not schrei ich zu dir, bwv 38, later ein feste burg ist unser gott, bwv 80, and in 1735 wÃ¤r gott nicht mit uns diese zeit, bwv 14.",80,what was the name of the second year that included 4 included?,9 october 2006,"the war was fought between the colonies of british america and new france, with both sides supported by military units from their parent countries of great britain and france, as well as native american allies.",56,what did the war between britain and france support?,military units from their parent countries,"the biodiversity of plant species is the highest on earth with one 2001 study finding a quarter square kilometer (62 acres) of ecuadorian rainforest supports more than 1,100 tree species.",81,how many tree species does the biodiversity of plant species support?,1724,"many types of turing machines are used to define complexity classes, such as deterministic turing machines, probabilistic turing machines, non-deterministic turing machines, quantum turing machines, symmetric turing machines and alternating turing machines.",27,what type of machines are used to define complexity classes?,turing machines,"in 2006, unicef estimated that up to 30% of girls in the coastal areas of malindi, mombasa, kilifi, and diani were subject to prostitution.",23,how much of the european population were subject to policing?,30%,"however, most of hearst television's 16 abc-affiliated stations transmit the network's programming in 1080i hd, while 11 other affiliates owned by various companies carry the network feed in 480i standard definition either due to technical considerations for affiliates of other major networks that carry abc programming on a digital subchannel or because a primary feed abc affiliate has not yet upgraded their transmission equipment to allow content to be presented in hd.",33,how many abc-affiliated stations does the network provide?,16,"in may 2000, the parliament was temporarily relocated to the former strathclyde regional council debating chamber in glasgow, and to the university of aberdeen in may 2002.",2,in what year was the parliament relocated to the former?,2000,"each step had to be successfully accomplished before the next ones could be performed, and it was unknown how many tries of each mission would be necessary; therefore letters were used instead of numbers.",139,"since nasa didn't know how many attempts each test would end up requiring, what did they use instead of numbers for the trials?",letters
