context1,number1,question1,answer1,context2,number2,question2,answer2,context3,number3,question3,answer3,context4,number4,question4,answer4,context5,number5,question5,answer5,context6,number6,question6,answer6,context7,number7,question7,answer7,context8,number8,question8,answer8,context9,number9,question9,answer9,context10,number10,question10,answer10
"on the evening of the same day, the couple was married by bugenhagen.",136,at what point in the day was the couple married?,evening,"also, very unequal societies tend to be politically and socially unstable, which is reflected in lower rates of investment and therefore growth.""",69,what do extremely unequal societies tend to be?,politically and socially unstable,"the south florida/miami area has previously hosted the event 10 times (tied for most with new orleans), with the most recent one being super bowl xliv in 2010.",57,what city is tied with miami for hosting the super bowl?,florida/miami,"the descendants of rollo 's vikings and their frankish wives would replace the norse religion and old norse language with catholicism (christianity) and the gallo-romance language of the local people, blending their maternal frankish heritage with old norse traditions and customs to synthesize a unique ""norman"" culture in the north of france.",132,what part of france were the normans located?,north,"gaining support from princes and officers in northern china and some other parts of the dynasty, khanbaliq-based tugh temã¼r eventually won the civil war against ragibagh known as the war of the two capitals.",45,what was the civil war against ragibagh also called?,the war of the two capitals,"charles avison, the leading british composer of concertos in the 18th century, was born in newcastle upon tyne in 1709 and died there in 1770.",59,what year did charles avison die in newcastle?,1770,"the plan was, at least provisionally approved by then superintendent of new york city schools, william h. maxwell.",151,who approved of this plan?,william h. maxwell,"the ""west side"" of fresno, also often called ""southwest fresno"", is one of the oldest neighborhoods in the city.",119,what is another name for the west side of fresno?,"""southwest fresno""","since 1974, abc has generally aired dick clark's new year's rockin' eve on new year's eve (hosted first by its creator dick clark, and later by his successor ryan seacrest); the only exception was in 1999, when abc put it on a one-year hiatus to provide coverage of the international millennium festivities, though clark's traditional countdown from times square was still featured within the coverage.",165,when did abc begin airing dick clark's new year's rockin' eve?,1974,"although many plants and factories can be found along the rhine up into switzerland, it is along the lower rhine that the bulk of them are concentrated, as the river passes the major cities of cologne, dã¼sseldorf and duisburg.",12,where are a bulk of factories concentrated along the rhine?,lower rhine
parliamentary time is also set aside for question periods in the debating chamber.,183,what is set aside for question periods in the debating chamber?,parliamentary time,"however, at wijk bij duurstede, the nederrijn changes its name and becomes the lek.",60,where does the nederrijn change it's name?,wijk bij duurstede,tesla gained experience in telephony and electrical engineering before emigrating to the united states in 1884 to work for thomas edison in new york city.,161,in what area of the united states did tesla move to?,new york city,proportionality is recognised one of the general principles of european union law by the european court of justice since the 1950s.,58,how long has proportionality been recognized as one of the general principles of eu law?,since the 1950s,"cbc began airing series two on 9 october 2006 at 20:00 e/p (20:30 in newfoundland and labrador), shortly after that day's cfl double header on thanksgiving in most of the country.",179,on what date was series two first shown by the cbc?,38999,"the league eventually narrowed the bids to three sites : new orleans' mercedes-benz superdome, miami's sun life stadium, and the san francisco bay area's levi's stadium.",192,what three stadiums did the nfl decide between for the game?,"new orleans' mercedes-benz superdome, miami's sun life stadium, and the san francisco bay area's levi's stadium","one of the network's strike-replacement programs during that time was the game show duel, which premiered in december 2007.",67,what game show debuted on abc in 2007 as a replacement for striking programs?,duel,stable and radioactive isotope studies provide insight into the geochemical evolution of rock units.,154,stable and radioactive isotope studies provide insight into what?,geochemical evolution of rock units,"the first commercial steam-powered device was a water pump, developed in 1698 by thomas savery.",105,who developed the first commercial steam powered device?,thomas savery,concepts of this network influenced later arpanet architecture.,34,this network influenced later models of,arpanet architecture
"in china, the polymath shen kuo (1031 -- 1095) formulated a hypothesis for the process of land formation: based on his observation of fossil animal shells in a geological stratum in a mountain hundreds of miles from the ocean, he inferred that the land was formed by erosion of the mountains and by deposition of silt.",191,what prompted shen kuo to believe the land was formed by erosion of the mountains?,his observation of fossil animal shells,"despite the disagreements on the eucharist, the marburg colloquy paved the way for the signing in 1530 of the augsburg confession, and for the formation of the schmalkaldic league the following year by leading protestant nobles such as john of saxony, philip of hesse, and george, margrave of brandenburg-ansbach.",22,"what ruler, besides john of saxony and philip of hesse, formed the schmalkaldic league?",john of saxony,concepts of this network influenced later arpanet architecture.,134,this network influenced later models of,later arpanet architecture,this early part of luther's career was one of his most creative and productive.,11,what part of luther's career was one of his most productive?,luther,"also, with the advent of the internet, many teachers are now selling their lesson plans to other teachers through the web in order to earn supplemental income, most notably on teacherspayteachers.com.",186,what website are teachers using to sell their lesson plans?,teacherspayteachers.com,"also, with the advent of the internet, many teachers are now selling their lesson plans to other teachers through the web in order to earn supplemental income, most notably on teacherspayteachers.com.",86,what website are teachers using to sell their lesson plans?,teacherspayteachers.com,"albert einstein extended the principle of inertia further when he explained that reference frames subject to constant acceleration, such as those free-falling toward a gravitating object, were physically equivalent to inertial reference frames.",193,who explained that inertial reference frames equaled reference frames subject to constant acceleration?,albert einstein,"he was supposedly killed with poison by el temã¼r, and tugh temã¼r then remounted the throne.",138,who took the throne after kusala's death?,tugh temã¼r,the number of chloroplasts per cell varies from 1 in algae up to 100 in plants like arabidopsis and wheat.,144,how many chloroplasts per cell does algae have?,1,"rodin is represented by more than 20 works in the museum collection, making it one of the largest collections of the sculptor's work outside france ; these were given to the museum by the sculptor in 1914, as acknowledgement of britain 's support of france in world war i, although the statue of st john the baptist had been purchased in 1902 by public subscription.",142,in which year were rodin's works given to the v&a?,1914
"in china, the polymath shen kuo (1031 -- 1095) formulated a hypothesis for the process of land formation: based on his observation of fossil animal shells in a geological stratum in a mountain hundreds of miles from the ocean, he inferred that the land was formed by erosion of the mountains and by deposition of silt.",91,what prompted shen kuo to believe the land was formed by erosion of the mountains?,deposition of silt,"the first commercial steam-powered device was a water pump, developed in 1698 by thomas savery.",5,who developed the first commercial steam powered device?,thomas savery,"in may 2000, the parliament was temporarily relocated to the former strathclyde regional council debating chamber in glasgow, and to the university of aberdeen in may 2002.",102,"in may 2002, where would you go to address the parliament?",university of aberdeen,"they then beat the defending super bowl xlix champion new england patriots in the afc championship game, 20 -- 18, by intercepting a pass on new england's 2-point conversion attempt with 17 seconds left on the clock.",116,how many seconds were left in the game when the broncos intercepted the pass that won the game?,17,stable and radioactive isotope studies provide insight into the geochemical evolution of rock units.,54,stable and radioactive isotope studies provide insight into what?,the geochemical evolution of rock units,"japanese imports, primarily the toyota corona, the toyota corolla, the datsun b210, the datsun 510, the honda civic, the mitsubishi galant (a captive import from chrysler sold as the dodge colt), the subaru dl, and later the honda accord all had four cylinder engines that were more fuel efficient than the typical american v8 and six cylinder engines.",163,which country's cars became more highly sought after as they were more fuel efficient?,japanese imports,"in bays where they occur in very high numbers, predation by ctenophores may control the populations of small zooplanktonic organisms such as copepods, which might otherwise wipe out the phytoplankton (planktonic plants), which are a vital part of marine food chains.",94,what are phytoplankton?,planktonic plants,"the wedding was held on 12 may 1191 at the chapel of st. george and it was attended by richard 's sister joan, whom he had brought from sicily.",115,what was the wedding date?,12 may 1191,"also, very unequal societies tend to be politically and socially unstable, which is reflected in lower rates of investment and therefore growth.""",169,what do extremely unequal societies tend to be?,politically and socially unstable,the total number of seats in the parliament are allocated to parties proportionally to the number of votes received in the second vote of the ballot using the d'hondt method.,72,how are the total numbers of seats allocated to parties?,votes received in the second vote of the ballot using the d'hondt method
"as indigenous territories continue to be destroyed by deforestation and ecocide, such as in the peruvian amazon indigenous peoples' rainforest communities continue to disappear, while others, like the urarina continue to struggle to fight for their cultural survival and the fate of their forested territories.",84,what kind of territories are being destroyed by ecocide in the amazon?,indigenous,"charles avison, the leading british composer of concertos in the 18th century, was born in newcastle upon tyne in 1709 and died there in 1770.",159,what year did charles avison die in newcastle?,1770,"this shift has already commenced in some countries; for instance, pharmacists in australia receive remuneration from the australian government for conducting comprehensive home medicines reviews.",150,who pays australian pharmacists for doing home medicines reviews?,the australian government,some customers consider this to be more convenient and private method rather than traveling to a community drugstore where another customer might overhear about the drugs that they take.,109,what is one reason a patient might choose an internet pharmacy?,another customer might overhear about the drugs that they take,they were licensed by st. george's church in 1784.,85,richard allen and absalom jones were licensed by what church?,st. george's church,"barred by the government from settling in new france, huguenots led by jessã© de forest, sailed to north america in 1624 and settled instead in the dutch colony of new netherland (later incorporated into new york and new jersey); as well as great britain 's colonies, including nova scotia.",198,when did huguenots colonize in north america?,1624,he had to work at various electrical repair jobs and even as a ditch digger for $2 per day.,1,what did tesla do for a job that paid two dollars a day?,ditch digger,"this allowed increased communication and trade between the west, middle east and asia, thus expanding the horizons of all three cultural areas.",107,what effect did genghis khan's career have on communication and trade across asia?,increased,"a function problem is a computational problem where a single output (of a total function) is expected for every input, but the output is more complex than that of a decision problem, that is, it is n't just yes or no.",117,a function problem is an example of what?,a computational problem,"crosscountry trains serve destinations in yorkshire, the midlands and the south west.",97,whose trains serve destinations in yorkshire?,crosscountry
a similar method is the electrocatalytic o2 evolution from oxides and oxoacids.,137,what is the source of oxygen production through electrocatalytic means?,oxides and oxoacids,"some of the income was dispensed in the form of aid to other underdeveloped nations whose economies had been caught between higher oil prices and lower prices for their own export commodities, amid shrinking western demand.",176,what is one of the reason that underdeveloped nations received aid from the oil income?,shrinking western demand,"although many plants and factories can be found along the rhine up into switzerland, it is along the lower rhine that the bulk of them are concentrated, as the river passes the major cities of cologne, dã¼sseldorf and duisburg.",112,where are a bulk of factories concentrated along the rhine?,switzerland,"the dornbirner ach had to be diverted, too, and it now flows parallel to the canalized rhine into the lake.",106,"after the dornbirner ach was diverted, where does the rhine flow now?",parallel to the canalized rhine,"however, most of hearst television's 16 abc-affiliated stations transmit the network's programming in 1080i hd, while 11 other affiliates owned by various companies carry the network feed in 480i standard definition either due to technical considerations for affiliates of other major networks that carry abc programming on a digital subchannel or because a primary feed abc affiliate has not yet upgraded their transmission equipment to allow content to be presented in hd.",33,what format do hearst television's abc affiliates transmit in?,1080i hd,"t-cells have a symbiotic relationship with vitamin d. not only does the t-cell extend a vitamin d receptor, in essence asking to bind to the steroid hormone version of vitamin d, calcitriol, but the t-cell expresses the gene cyp27b1, which is the gene responsible for converting the pre-hormone version of vitamin d, calcidiol into the steroid hormone version, calcitriol.",182,what is the nature of the relationship between t-cells and vitamin d?,symbiotic relationship,"oxfam's claims have however been questioned on the basis of the methodology used: by using net wealth (adding up assets and subtracting debts), the oxfam report, for instance, finds that there are more poor people in the united states and western europe than in china (due to a greater tendency to take on debts).",47,what has caused oxfam's findings to be questioned?,the basis of the methodology used,"in the more spiritual or mystical islamic tradition of sufism, the position of spiritual teacher and an esoteric (as opposed to exoteric, or actions-oriented, e.g. the five pillars of islam) spirituality and spiritual knowledge takes on a more important dimension, with emphasis on learning from living saints - the highest of which is a qutb - and of traditions passed down from initiate to initiate, and traceable back to the founder of the order.",25,what is the name of the mystical type of islam?,sufism,"the war was fought between the colonies of british america and new france, with both sides supported by military units from their parent countries of great britain and france, as well as native american allies.",156,who fought in the french and indian war?,colonies of british america and new france,"an online petition of over 5,100 names on the parliamentary website led to chris smith asking parliament about the future of the collection.",35,approximately how many names were signed on an online petition on the parliamentary website in response to the closing of the musical instruments gallery?,5100
this is not a valid comparison -- the inner mitochondria membrane is used to run proton pumps and carry out oxidative phosphorylation across to generate atp energy.,28,what does oxidative phosphorylation do?,generate atp energy,"its existence was first proved in 1962, and first sequenced in 1986 -- when two japanese research teams sequenced the chloroplast dna of liverwort and tobacco.",46,who sequenced the first plastome?,japanese research teams,"kublai originally named his eldest son, zhenjin, as the crown prince, but he died before kublai in 1285.",155,when did zhenjin die?,before kublai in 1285,"many types of turing machines are used to define complexity classes, such as deterministic turing machines, probabilistic turing machines, non-deterministic turing machines, quantum turing machines, symmetric turing machines and alternating turing machines.",27,"in the determination of complexity classes, what are two examples of types of turing machines?","deterministic turing machines, probabilistic turing machines, non-deterministic turing machines, quantum turing machines","the biodiversity of plant species is the highest on earth with one 2001 study finding a quarter square kilometer (62 acres) of ecuadorian rainforest supports more than 1,100 tree species.",75,how many tree species are in the rainforest?,"more than 1,100","the style adopted for this part of the museum was italian renaissance, much use was made of terracotta, brick and mosaic, this north faã§ade was intended as the main entrance to the museum with its bronze doors designed by james gamble & reuben townroe having six panels depicting : humphry davy (chemistry) ; isaac newton (astronomy) ; james watt (mechanics) ; bramante (architecture) ; michelangelo (sculpture) ; titian (painting) ; thus representing the range of the museums collections, godfrey sykes also designed the terracotta embellishments and the mosaic in the pediment of the north faã§ade commemorating the great exhibition the profits from which helped to fund the museum, this is flanked by terracotta statue groups by percival ball.",143,what art historical style was used in the decoration for the northern part of the museum?,italian renaissance,"tesla's father, in a moment of despair, promised to send him to the best engineering school if he recovered from the illness (his father had originally wanted him to enter the priesthood).",190,what was tesla's father's original plans for tesla?,enter the priesthood,"osweiler was injured, however, leading to manning's return during the week 17 regular season finale, where the broncos were losing 13 -- 7 against the 4 -- 11 san diego chargers, resulting in manning re-claiming the starting quarterback position for the playoffs by leading the team to a key 27 -- 20 win that enabled the team to clinch the number one overall afc seed.",70,who did the broncos play in the last week of the regular season?,osweiler,"the style adopted for this part of the museum was italian renaissance, much use was made of terracotta, brick and mosaic, this north faã§ade was intended as the main entrance to the museum with its bronze doors designed by james gamble & reuben townroe having six panels depicting : humphry davy (chemistry) ; isaac newton (astronomy) ; james watt (mechanics) ; bramante (architecture) ; michelangelo (sculpture) ; titian (painting) ; thus representing the range of the museums collections, godfrey sykes also designed the terracotta embellishments and the mosaic in the pediment of the north faã§ade commemorating the great exhibition the profits from which helped to fund the museum, this is flanked by terracotta statue groups by percival ball.",43,what art historical style was used in the decoration for the northern part of the museum?,italian renaissance,"the descendants of rollo 's vikings and their frankish wives would replace the norse religion and old norse language with catholicism (christianity) and the gallo-romance language of the local people, blending their maternal frankish heritage with old norse traditions and customs to synthesize a unique ""norman"" culture in the north of france.",32,what part of france were the normans located?,north
"the wedding was held on 12 may 1191 at the chapel of st. george and it was attended by richard 's sister joan, whom he had brought from sicily.",15,what was the wedding date?,12 may 1191,"woods retained his position as president and ceo of abc until december 1949, and was subsequently promoted to vice-chairman of the board before leaving abc altogether on june 30, 1951.",13,what position did mark woods take on at the new american broadcasting company?,president and ceo of abc,"steam engines can be said to have been the moving force behind the industrial revolution and saw widespread commercial use driving machinery in factories, mills and mines ; powering pumping stations ; and propelling transport appliances such as railway locomotives, ships, steamboats and road vehicles.",152,"along with mills and mines, in what industrial locations did steam drive machines?",factories,"his work in the formative years of electric power development was involved in a corporate alternating current/direct current ""war of currents"" as well as various patent battles.",164,"what ""war"" was tesla involved in?",war of currents,"each year, enr compiles and reports on data about the size of design and construction companies.",8,what compiles and reports on data about the size of design and construction companies?,enr,"however, mughal emperors directly patronized the legacies of genghis khan and timur ; together their names were synonymous with the names of other distinguished personalities particularly among the muslim populations of south asia.",76,which mongol conqueror was most celebrated by the mughal emperors?,amid shrinking western demand,"goldenson also cited interest in japan in the early 1950s, acquiring a 5% stake in two new domestic networks, the mainichi broadcasting system in 1951 and nihon educational television in 1957.",131,what japanese network did abc purchase a stake in in 1951?,mainichi broadcasting system,philo incorrectly surmised that parts of the air in the vessel were converted into the classical element fire and thus were able to escape through pores in the glass.,88,what did philo incorrectly assume that the air became?,parts of the air in the vessel were converted into the classical element fire,"johann sebastian bach included several verses as chorales in his cantatas and based chorale cantatas entirely on them, namely christ lag in todes banden, bwv 4, as early as possibly 1707, in his second annual cycle (1724 to 1725) ach gott, vom himmel sieh darein, bwv 2, christ unser herr zum jordan kam, bwv 7, nun komm, der heiden heiland, bwv 62, gelobet seist du, jesu christ, bwv 91, and aus tiefer not schrei ich zu dir, bwv 38, later ein feste burg ist unser gott, bwv 80, and in 1735 wã¤r gott nicht mit uns diese zeit, bwv 14.",180,what did bach base entirely on luther chorales?,chorale cantatas,"they then beat the defending super bowl xlix champion new england patriots in the afc championship game, 20 -- 18, by intercepting a pass on new england's 2-point conversion attempt with 17 seconds left on the clock.",16,how many seconds were left in the game when the broncos intercepted the pass that won the game?,17
"as sea-level continued to rise in the netherlands, the formation of the holocene rhine-meuse delta began (~ 8,000 years ago).",20,what country did the rhine continue to rise during the holocene?,the netherlands,parliamentary time is also set aside for question periods in the debating chamber.,83,what is set aside for question periods in the debating chamber?,parliamentary time,"the panthers then blew out the arizona cardinals in the nfc championship game, 49 -- 15, racking up 487 yards and forcing seven turnovers.",126,who did the panthers play in their division championship game?,arizona cardinals,"the crew of apollo 8 sent the first live televised pictures of the earth and the moon back to earth, and read from the creation story in the book of genesis, on christmas eve, 1968.",41,what crew sent the first ever live images of the earth and moon to earth?,apollo 8,"despite the disagreements on the eucharist, the marburg colloquy paved the way for the signing in 1530 of the augsburg confession, and for the formation of the schmalkaldic league the following year by leading protestant nobles such as john of saxony, philip of hesse, and george, margrave of brandenburg-ansbach.",122,"what ruler, besides john of saxony and philip of hesse, formed the schmalkaldic league?","george, margrave of brandenburg-ansbach","on an international level, the price increases changed competitive positions in many industries, such as automobiles.",173,"on an international level, which industry's competitive positions is affected?",automobiles,"the league eventually narrowed the bids to three sites : new orleans' mercedes-benz superdome, miami's sun life stadium, and the san francisco bay area's levi's stadium.",92,what three stadiums did the nfl decide between for the game?,"new orleans' mercedes-benz superdome, miami's sun life stadium","this allowed increased communication and trade between the west, middle east and asia, thus expanding the horizons of all three cultural areas.",7,what effect did genghis khan's career have on communication and trade across asia?,increased,"since 1974, abc has generally aired dick clark's new year's rockin' eve on new year's eve (hosted first by its creator dick clark, and later by his successor ryan seacrest); the only exception was in 1999, when abc put it on a one-year hiatus to provide coverage of the international millennium festivities, though clark's traditional countdown from times square was still featured within the coverage.",65,when did abc begin airing dick clark's new year's rockin' eve?,1974,"one of the network's strike-replacement programs during that time was the game show duel, which premiered in december 2007.",167,what game show debuted on abc in 2007 as a replacement for striking programs?,duel
"osweiler was injured, however, leading to manning's return during the week 17 regular season finale, where the broncos were losing 13 -- 7 against the 4 -- 11 san diego chargers, resulting in manning re-claiming the starting quarterback position for the playoffs by leading the team to a key 27 -- 20 win that enabled the team to clinch the number one overall afc seed.",170,who did the broncos play in the last week of the regular season?,san diego chargers,"cbc began airing series two on 9 october 2006 at 20:00 e/p (20:30 in newfoundland and labrador), shortly after that day's cfl double header on thanksgiving in most of the country.",78,on what date was series two first shown by the cbc?,april,"luther 's 1541 hymn ""christ unser herr zum jordan kam"" (""to jordan came the christ our lord"") reflects the structure and substance of his questions and answers concerning baptism in the small catechism.",53,what does luther's hymn christ unser herr zum jordan kam concern?,to jordan came the christ our lord,"however, at wijk bij duurstede, the nederrijn changes its name and becomes the lek.",160,where does the nederrijn change it's name?,wijk bij duurstede,"its existence was first proved in 1962, and first sequenced in 1986 -- when two japanese research teams sequenced the chloroplast dna of liverwort and tobacco.",146,who sequenced the first plastome?,two japanese research teams,"crosscountry trains serve destinations in yorkshire, the midlands and the south west.",197,whose trains serve destinations in yorkshire?,crosscountry,"johann sebastian bach included several verses as chorales in his cantatas and based chorale cantatas entirely on them, namely christ lag in todes banden, bwv 4, as early as possibly 1707, in his second annual cycle (1724 to 1725) ach gott, vom himmel sieh darein, bwv 2, christ unser herr zum jordan kam, bwv 7, nun komm, der heiden heiland, bwv 62, gelobet seist du, jesu christ, bwv 91, and aus tiefer not schrei ich zu dir, bwv 38, later ein feste burg ist unser gott, bwv 80, and in 1735 wã¤r gott nicht mit uns diese zeit, bwv 14.",79,what did bach base entirely on luther chorales?,38999,the arrival of satellite television ended the need for abc to hold interests in other countries ; many governments also wanted to increase their independence and strengthen legislation to limit foreign ownership of broadcasting properties.,124,why was abc forced to sell its interests in international networks in the 70s?,legislation to limit foreign ownership of broadcasting properties,"in addition to certification, many educational institutions especially within the us, require that prospective teachers pass a background check and psychiatric evaluation to be able to teach in classroom.",71,in what country is a background check required?,prospective teachers,"i would be doing a service if i killed my father when he is hunting, made an alliance with sultan muhammad, brought this land to life and gave assistance and support to the muslims.""",87,who did jochi reportedly enlist to help him stop his father's massacres?,sultan muhammad
